"SITE_ID","SITE_NAME","MOVED_TO_SITE_ID","DATE","DEPTH","WATER","DENSITY","LATITUDE","LONGITUDE","NA","NA","NA","NA","NA","NA","NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-01-01",19,4.3,0.23,44.945659,-70.997712,1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-01-01",19,4.3,0.23
1030,"MIDDLE DAM (UWP)",NA,"1979-01-01",13,3.8,0.29,44.778711,-70.923104,1030,"MIDDLE DAM (UWP)",NA,"1979-01-01",13,3.8,0.29
1031,"UPPER DAM (UWP)",NA,"1979-01-01",15,3.3,0.22,44.883761,-70.862954,1031,"UPPER DAM (UWP)",NA,"1979-01-01",15,3.3,0.22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,"MOOSEHEAD (KWP)",NA,"1979-15-01",16.3,4.55,0.28,45.583831,-69.725289,1013,"MOOSEHEAD (KWP)",NA,"1979-15-01",16.3,4.55,0.28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-01",25,6.2,0.25,44.945659,-70.997712,1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-01",25,6.2,0.25
1030,"MIDDLE DAM (UWP)",NA,"1979-15-01",20,4.3,0.21,44.778711,-70.923104,1030,"MIDDLE DAM (UWP)",NA,"1979-15-01",20,4.3,0.21
1031,"UPPER DAM (UWP)",NA,"1979-15-01",21,4.4,0.21,44.883761,-70.862954,1031,"UPPER DAM (UWP)",NA,"1979-15-01",21,4.4,0.21
1047,"BRASSUA (KWP)",NA,"1979-15-01",18.6,4.81,0.26,45.656509,-69.8107,1047,"BRASSUA (KWP)",NA,"1979-15-01",18.6,4.81,0.26
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-01",20.3,5.19,0.26,45.465157,-69.628472,1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-01",20.3,5.19,0.26
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-01",22,4.13,0.19,45.224398,-70.192124,1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-01",22,4.13,0.19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1335,"SQUA PAN (C) (MPSC)",NA,"1979-15-01",26.8,5.3,0.2,46.549984,-68.320219,1335,"SQUA PAN (C) (MPSC)",NA,"1979-15-01",26.8,5.3,0.2
1336,"SQUA PAN (D) (MPSC)",NA,"1979-15-01",21.7,4.3,0.2,46.549984,-68.320219,1336,"SQUA PAN (D) (MPSC)",NA,"1979-15-01",21.7,4.3,0.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,"MOOSEHEAD (KWP)",NA,"1979-31-01",24.2,6.93,0.29,45.583831,-69.725289,1013,"MOOSEHEAD (KWP)",NA,"1979-31-01",24.2,6.93,0.29
1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-31-01",38.2,9.83,0.26,45.61838,-70.24965,1036,"JACKMAN/JACKMAN STATION (KWP)",1560,"1979-31-01",38.2,9.83,0.26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,"BRASSUA (KWP)",NA,"1979-31-01",24.4,7.17,0.29,45.656509,-69.8107,1047,"BRASSUA (KWP)",NA,"1979-31-01",24.4,7.17,0.29
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-31-01",31.4,8.85,0.28,45.465157,-69.628472,1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-31-01",31.4,8.85,0.28
1089,"PORTAGE",NA,"1979-31-01",23,7.8,0.34,46.764939,-68.473106,1089,"PORTAGE",NA,"1979-31-01",23,7.8,0.34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-31-01",34.7,8.1,0.23,45.224398,-70.192124,1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-31-01",34.7,8.1,0.23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1335,"SQUA PAN (C) (MPSC)",NA,"1979-31-01",22.8,5.6,0.25,46.549984,-68.320219,1335,"SQUA PAN (C) (MPSC)",NA,"1979-31-01",22.8,5.6,0.25
1336,"SQUA PAN (D) (MPSC)",NA,"1979-31-01",19.6,5.2,0.27,46.549984,-68.320219,1336,"SQUA PAN (D) (MPSC)",NA,"1979-31-01",19.6,5.2,0.27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
