"SITE_ID","SITE_NAME","MOVED_TO_SITE_ID","DATE","DEPTH","WATER","DENSITY","LATITUDE","LONGITUDE"
1027,"ERROL/ERROL DAM (UWP)",NA,"1979-01-01",18,4.1,0.23,44.7868,-71.13144
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-01-01",19,4.3,0.23,44.945659,-70.997712
1030,"MIDDLE DAM (UWP)",NA,"1979-01-01",13,3.8,0.29,44.778711,-70.923104
1031,"UPPER DAM (UWP)",NA,"1979-01-01",15,3.3,0.22,44.883761,-70.862954
1001,"ROCKWOOD (KWP)",NA,"1979-15-01",17,4.66,0.27,45.67801,-69.758911
1013,"MOOSEHEAD (KWP)",NA,"1979-15-01",16.3,4.55,0.28,45.583831,-69.725289
1027,"ERROL/ERROL DAM (UWP)",NA,"1979-15-01",25,5.8,0.23,44.7868,-71.13144
1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,"1979-15-01",25,6.2,0.25,44.945659,-70.997712
1030,"MIDDLE DAM (UWP)",NA,"1979-15-01",20,4.3,0.21,44.778711,-70.923104
1031,"UPPER DAM (UWP)",NA,"1979-15-01",21,4.4,0.21,44.883761,-70.862954
1047,"BRASSUA (KWP)",NA,"1979-15-01",18.6,4.81,0.26,45.656509,-69.8107
1049,"GREENVILLE/GREENVILLE JUNCTION (KWP)",NA,"1979-15-01",20.3,5.19,0.26,45.465157,-69.628472
1287,"FLAGSTAFF/FLAGSTAFF DAM (KWP)",NA,"1979-15-01",22,4.13,0.19,45.224398,-70.192124
1292,"KOKADJO (KWP)",NA,"1979-15-01",19,4.97,0.26,45.654487,-69.464531
1335,"SQUA PAN (C) (MPSC)",NA,"1979-15-01",26.8,5.3,0.2,46.549984,-68.320219
1336,"SQUA PAN (D) (MPSC)",NA,"1979-15-01",21.7,4.3,0.2,46.549984,-68.320219
1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,"1979-15-01",18.8,4,0.21,46.380009,-68.699997
1397,"SALMON POOL (E) (MPSC)",NA,"1979-15-01",23.1,5.6,0.24,46.420009,-68.620003
1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,"1979-15-01",23.4,5.5,0.23,46.62001,-68.199997
1399,"HEDGEHOG MOUNTAIN/CHAPMAN B (MPSC)",NA,"1979-15-01",23.5,4.9,0.21,46.620008,-68.18
1437,"MILLINOCKET (G) (MPSC)",NA,"1979-15-01",23.1,4.4,0.19,42.952513,-66.680008
1438,"MILLINOCKET (H) (MPSC)",NA,"1979-15-01",25.3,5.4,0.21,42.952513,-66.680008
