"DATE","SITE_ID","SITE_NAME","MOVED_TO_SITE_ID","DEPTH","WATER","DENSITY","LATITUDE","LONGITUDE","DELTA_DEPTH","DELTA_DENSITY","DELTA_WATER","NAO_VALUE"
"1980-01-01",1030,"MIDDLE DAM (UWP)",NA,2,0.2,0.1,44.778711,-70.923104,-1,0.04,0.01,0.312
"1980-01-01",1027,"ERROL/ERROL DAM (UWP)",NA,2,0.2,0.1,44.7868,-71.13144,-1,0.05,0.05,0.312
"1980-01-01",1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,4,0.3,0.07,44.945659,-70.997712,4,0.07,0.3,0.312
"1980-01-01",1031,"UPPER DAM (UWP)",NA,3,0.3,0.1,44.883761,-70.862954,0,0.07,0.2,0.312
"1980-01-06",1267,"DICKEY-LINCOLN",NA,10,1.5,0.15,47.156661,-68.932991,NA,NA,NA,-0.44
"1980-01-07",1267,"DICKEY-LINCOLN",NA,17,3.1,0.18,47.156661,-68.932991,9,-0.06,1.2,-0.482
"1980-01-07",1267,"DICKEY-LINCOLN",NA,8,1.9,0.24,47.156661,-68.932991,-2,0.09,0.4,-0.482
"1980-01-15",1335,"SQUA PAN (C) (MPSC)",NA,4.9,1.7,0.35,46.549984,-68.320219,-14.6,-0.03,-5.7,-0.263
"1980-01-15",1336,"SQUA PAN (D) (MPSC)",NA,3.3,1.2,0.36,46.549984,-68.320219,-9.3,-0.08,-4.4,-0.263
"1980-01-15",1027,"ERROL/ERROL DAM (UWP)",NA,0,0,0,44.7868,-71.13144,-2,-0.1,-0.2,-0.263
"1980-01-15",1031,"UPPER DAM (UWP)",NA,0,0,0,44.883761,-70.862954,-3,-0.1,-0.3,-0.263
"1980-01-15",1438,"MILLINOCKET (H) (MPSC)",NA,2.1,1.2,0.57,42.952513,-66.680008,-17.6,0.15,-7.1,-0.263
"1980-01-15",1028,"AZISCOHOS/AZISCOHOS DAM (UWP)",NA,0,0,0,44.945659,-70.997712,-4,-0.07,-0.3,-0.263
"1980-01-15",1437,"MILLINOCKET (G) (MPSC)",NA,1.8,0.7,0.39,42.952513,-66.680008,-16.2,-0.02,-6.6,-0.263
"1980-01-15",1398,"HEDGEHOG MOUNTAIN/CHAPMAN A (MPSC)",NA,4.8,1.7,0.35,46.62001,-68.199997,-1,-0.13,-1.1,-0.263
"1980-01-15",1397,"SALMON POOL (E) (MPSC)",NA,2,0.9,0.45,46.420009,-68.620003,-13,-0.01,-6,-0.263
"1980-01-15",1030,"MIDDLE DAM (UWP)",NA,0,0,0,44.778711,-70.923104,-2,-0.1,-0.2,-0.263
"1980-01-15",1396,"CHASE CAMPS/POMKEAG (F) (MPSC)",NA,2.7,0.8,0.3,46.380009,-68.699997,-9.1,-0.17,-4.7,-0.263
"1980-01-15",1399,"HEDGEHOG MOUNTAIN/CHAPMAN B (MPSC)",NA,4.8,1.4,0.29,46.620008,-68.18,-5.4,-0.4,-5.6,-0.263
"1980-01-24",1267,"DICKEY-LINCOLN",NA,15,2.5,0.17,47.156661,-68.932991,-2,-0.00999999999999998,-0.6,-1.507
"1980-01-28",1178,"DAAQUAM (QUEBEC)",NA,13,3.2,0.25,46.600007,-70.080002,NA,NA,NA,-1.053
"1980-01-28",1266,"SEVEN ISLANDS (CHARLIE POND)",NA,17,4.1,0.24,46.914431,-69.709534,NA,NA,NA,-1.053
