"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-01",,,"0.05","0.0","0.0",,"45","37"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-02",,,"0.43","0.0","0.0",,"49","40"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-03",,,"1.91","0.0","0.0",,"44","42"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-04",,,"0.14","0.0","0.0",,"58","37"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-05",,,"0.00","0.0","0.0",,"46","25"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-06",,,"0.17","0.0","0.0",,"47","31"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-07",,,"0.44","0.0","0.0",,"52","47"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-08",,,"0.00","0.0","0.0",,"60","39"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-09",,,"0.00","0.0","0.0",,"53","27"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-10",,,"0.84","1.0","1.0",,"40","32"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-11",,,"0.03","0.0","0.0",,"38","28"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-12",,,"0.00","0.0","0.0",,"37","19"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-13",,,"0.33","2.0","2.0",,"41","27"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-14",,,"0.77","0.0","2.0",,"36","16"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-15",,,"0.00","0.0","1.0",,"36","11"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-16",,,"0.20","3.0","3.0",,"36","11"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-17",,,"0.18","2.0","5.0",,"32","23"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-18",,,"0.00","0.0","4.0",,"43","17"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-19",,,"0.00","0.0","3.0",,"43","8"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-20",,,"0.00","0.0","3.0",,"31","21"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-21",,,"0.20","3.0","6.0",,"31","20"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-22",,,"0.05","1.0","6.0",,"31","3"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-23",,,"0.00","0.0","5.0",,"20","4"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-24",,,"0.00","0.0","5.0",,"27","9"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-25",,,"0.02","0.0","5.0",,"43","16"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-26",,,"0.30","0.0","3.0",,"34","28"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-27",,,"0.40","3.5","7.0",,"34","30"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-28",,,"0.32","0.0","5.0",,"37","33"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2018-11-29",,,"0.01","0.0","4.0",,"42","33"
