"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-01",,,"0.14","2.0","6.0",,"29","23"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-02",,,"0.00","0.0","5.0",,"35","24"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-03",,,"0.00","0.0","4.0",,"36","25"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-04",,,"0.00","0.0","4.0",,"39","26"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-05",,,"0.13","1.0","5.0",,"37","27"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-06",,,"0.00","0.0","5.0",,"31","4"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-07",,,"0.05","0.6","6.0",,"24","7"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-08",,,"0.04","0.4","6.0",,"33","17"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-09",,,"0.01","0.1","6.0",,"27","10"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-10",,,"0.00","0.0","6.0",,"27","8"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-11",,,"0.00","0.0","4.0",,"47","27"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-12",,,"0.64","0.0","1.0",,"54","33"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-13",,,"0.12","0.0","1.0",,"33","12"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-14",,,"0.04","0.5","1.0",,"24","17"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-15",,,"0.04","0.5",,,"30","19"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-16",,,"0.17","2.0","3.0",,"39","29"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-17",,,"0.05","2.0","4.0",,"30","2"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-18",,,"0.00","0.0","4.0",,"11","-8"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-19",,,"0.36","4.0","8.0",,"28","5"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-20",,,"0.00","0.0","8.0",,"25","12"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-21",,,"0.00","0.0","7.0",,"24","-13"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-22",,,"0.00","0.0","6.0",,"21","3"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-23",,,"0.00","0.0","6.0",,"32","3"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-24",,,"0.00","0.0","6.0",,"39","18"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-25",,,"0.00","0.0","6.0",,"40","16"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-26",,,"0.87","0.0","4.0",,"40","33"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-27",,,"0.00","0.0","3.0",,"41","27"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-28",,,"0.00","0.0","3.0",,"41","29"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2020-01-29",,,"0.00","0.0","3.0",,"33","14"
