"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-01",,,,,"0.00","0.0","0.0",,"42","24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-02",,,,,"0.00","0.0","0.0",,"46","24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-03",,,,,"0.15","0.0","0.0",,"56","39"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-04",,,,,"0.00","0.0","0.0",,"60","46"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-05",,,,,"0.04","0.0","0.0",,"64","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-06",,,,,"0.15","0.0","0.0",,"39","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-07",,,,,"0.60","2.5",,,"36","24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-08",,,,,"0.01","0.4",,,"27","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-09",,,,,"0.00","0.0",,,"27","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-10",,,,,"0.00","0.0",,,"34","22"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-11",,,,,"1.58","3.2",,,"35","32"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-12",,,,,"0.00","0.0",,,"33","22"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-13",,,,,"0.00","0.0",,,"24","16"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-14",,,,,"0.00","0.0",,,"28","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1990-11-15",,,,,"0.00","0.0","0.0",,"37","24"
