"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-01",,,"0.19","2.7",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-02",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-03",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-04",,,"0.86","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-05",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-06",,,"0.01","0.2",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-07",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-08",,,"0.10","1.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-09",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-10",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-11",,,"0.35","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-12",,,"0.05","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-13",,,"0.07","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-14",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-15",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-16",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-17",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-18",,,"0.22","3.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-19",,,"0.11","1.8",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-20",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-22","    2","0.00",,,"5.0",,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-23",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-24",,,"0.48","1.6",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-25",,,"0.58","0.5",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-26",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-27",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-28",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-29",,,"0.00","0.0",,,,
"US1MECM0116","GORHAM 0.8 E, ME US","43.681158","-70.429818","52.4","2017-01-30",,,"0.00","0.0",,,,
