"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-01",,,,,"0.25","0.0","0.0",,"44","40"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-02",,,,,"0.57","0.0","0.0",,"46","40"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-03",,,,,"0.00","0.0","0.0",,"49","40"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-04",,,,,"0.00","0.0","0.0",,"44","31"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-05",,,,,"0.00","0.0","0.0",,"38","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-06",,,,,"0.00","0.0","0.0",,"38","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-07",,,,,"0.00","0.0","0.0",,"42","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-08",,,,,"0.07","0.8","1.0",,"40","22"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-09",,,,,"0.00","0.0","1.0",,"32","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-10",,,,,"0.00","0.0","1.0",,"32","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-11",,,,,"0.16","0.0","0.0",,"37","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-12",,,,,"1.32","3.5","4.0",,"33","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-13",,,,,"0.00","0.0","4.0",,"29","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-14",,,,,"0.03","0.6","4.0",,"32","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-15",,,,,"0.00","0.0","3.0",,"35","27"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-16",,,,,"0.26","0.0","3.0",,"41","32"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-17",,,,,"0.00","0.0","3.0",,"37","22"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-18",,,,,"0.00","0.0","2.0",,"29","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-19",,,,,"0.00","0.0","1.0",,"43","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-20",,,,,"0.03","0.0","0.0",,"49","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-21",,,,,"0.01","0.0","0.0",,"61","39"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-22",,,,,"0.00","0.0","0.0",,"44","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-23",,,,,"0.45","0.0","0.0",,"42","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-24",,,,,"0.14","0.0","0.0",,"38","35"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-25",,,,,"0.27","0.0","0.0",,"41","30"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-26",,,,,"0.00","0.0","0.0",,"34","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-27",,,,,"0.00","0.0","0.0",,"23","21"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-28",,,,,"0.00","0.0","0.0",,"31","20"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-29",,,,,"0.01","0.0","0.0",,"37","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-11-30",,,,,"0.00","0.0","0.0",,"35","15"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-01",,,,,"0.00","0.0","0.0",,"53","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-02",,,,,"0.00","0.0","0.0",,"39","33"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-03",,,,,"0.11","1.0","1.0",,"33","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-04",,,,,"0.64","5.5","7.0",,"25","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-05",,,,,"0.00","0.0","7.0",,"25","4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-06",,,,,"0.05","0.5","6.0",,"5","-2"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-07",,,,,"0.05","0.8","7.0",,"12","-11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-08",,,,,"0.30","3.8","10.0",,"12","2"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-09",,,,,"0.07","0.0","9.0",,"33","10"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-10",,,,,"0.00","0.0","7.0",,"42","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-11",,,,,"0.00","0.0","7.0",,"28","10"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-12",,,,,"0.00","0.0","7.0",,"37","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-13",,,,,"0.14","0.0","5.0",,"41","21"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-14",,,,,"0.02","0.0","4.0",,"46","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-15",,,,,"0.22","0.0","4.0",,"35","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-16",,,,,"0.00","0.0","4.0",,"23","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-17",,,,,"0.00","0.0","4.0",,"8","-6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-18",,,,,"0.11","1.6","5.0",,"7","-4"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-19",,,,,"0.08","1.4","6.0",,"10","-5"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-20",,,,,"0.00","0.0","6.0",,"11","-3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-21",,,,,"0.00","0.0","5.0",,"22","10"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-22",,,,,"0.06","0.6","6.0",,"30","14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-23",,,,,"0.00","0.0","5.0",,"31","16"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-24",,,,,"0.01","0.3","5.0",,"32","8"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1991-12-25",,,,,"0.00","0.0","5.0",,"9","-9"
