"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-01",,,,,"0.00","0.0","0.0",,"38","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-02",,,,,"0.00","0.0","0.0",,"35","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-03",,,,,"0.04","0.0","0.0",,"38","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-04",,,,,"0.23","0.0","0.0",,"37","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-05",,,,,"0.05","0.0","0.0",,"48","36"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-06",,,,,"0.26","0.0","0.0",,"43","32"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-07",,,,,"0.00","0.0","0.0",,"37","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-08",,,,,"0.00","0.0","0.0",,"30","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-09",,,,,"0.00","0.0","0.0",,"30","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-10",,,,,"0.00","0.0","0.0",,"32","8"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-11",,,,,"0.08","0.2",,,"35","10"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-12",,,,,"0.08","0.0","0.0",,"42","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-13",,,,,"0.65","0.0","0.0",,"53","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-14",,,,,"0.00","0.0","0.0",,"54","30"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-15",,,,,"0.00","0.0","0.0",,"37","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-16",,,,,"0.00","0.1",,,"35","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-17",,,,,"0.00","0.0",,,"25","15"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-18",,,,,"0.00","0.0",,,"33","23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-19",,,,,"0.00","0.0",,,"28","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-20",,,,,"0.00","0.0",,,"27","11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-21",,,,,"0.00","0.0","0.0",,"34","11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-22",,,,,"0.08","0.0","0.0",,"49","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-23",,,,,"0.25","0.0","0.0",,"50","33"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-24",,,,,"0.44","0.5",,,"35","30"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-25",,,,,"0.16","1.6",,,"33","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-26",,,,,"0.02","0.0",,,"34","30"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-27",,,,,"0.48","0.0","0.0",,"42","34"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-28",,,,,"0.01","0.0","0.0",,"41","27"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-29",,,,,"0.00","0.0","0.0",,"42","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-11-30",,,,,"0.00","0.0","0.0",,"37","26"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-12-01",,,,,"0.01","0.3",,,"34","31"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-12-02",,,,,"0.05","0.3",,,"37","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-12-03",,,,,"0.00","0.0",,,"35","28"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-12-04",,,,,"0.01","0.5",,,"33","25"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1992-12-05",,,,,"0.02","0.3",,,"25","18"
