"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-01",,,,,"0.00","0.0","5.0",,"-3","-15"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-02",,,,,"0.00","0.0","5.0",,"11","-15"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-03",,,,,"0.00","0.0","5.0",,"6","-13"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-04",,,,,"1.05","9.3","14.0",,"29","6"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-05",,,,,"0.00","0.0","14.0",,"22","-1"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-06",,,,,"0.00","0.0","13.0",,"8","-21"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-07",,,,,"0.00","0.1","13.0",,"19","-23"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-08",,,,,"0.02","1.0","13.0",,"19","-17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-09",,,,,"0.37","4.5","17.0",,"19","-9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-10",,,,,"0.37","2.6","18.0",,"25","2"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-11",,,,,"0.00","0.0","17.0",,"15","-24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-12",,,,,"0.02","0.5","18.0",,"16","-24"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-13",,,,,"0.16","2.7","20.0",,"16","-1"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-14",,,,,"0.17","3.0","23.0",,"12","-31"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-15",,,,,"0.20","2.8","24.0",,"7","-30"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-16",,,,,"1.03","1.5","23.0",,"39","7"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-17",,,,,"0.00","0.0","23.0",,"39","11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-18",,,,,"0.00","0.0","22.0",,"39","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-19",,,,,"0.45","0.0","19.0",,"39","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-20",,,,,"0.00","0.0","18.0",,"36","29"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-21",,,,,"0.00","0.0","17.0",,"31","9"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-22",,,,,"0.03","0.5","17.0",,"33","12"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-23",,,,,"0.22","1.4","18.0",,"26","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-24",,,,,"0.00","0.0","17.0",,"42","19"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-25",,,,,"0.23","0.0","14.0",,"46","17"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-26",,,,,"0.00","0.0","14.0",,"26","5"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-27",,,,,"0.00","0.4","15.0",,"27","3"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-28",,,,,"0.00","0.0","15.0",,"28","-10"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-29",,,,,"0.00","0.0","15.0",,"13","-11"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-30",,,,,"0.00","0.0","15.0",,"17","-14"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-01-31",,,,,"0.00","0.0","15.0",,"15","-16"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-01",,,,,"0.00","0.0","15.0",,"24","-16"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-02",,,,,"0.00","0.0","15.0",,"34","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-03",,,,,"0.56","2.5","17.0",,"34","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-04",,,,,"0.00","0.0","17.0",,"40","15"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-05",,,,,"0.00","0.0","16.0",,"40","18"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-06",,,,,"0.00","0.0","16.0",,"35","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-07",,,,,"0.11","1.2","17.0",,"21","0"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","1999-02-08",,,,,"0.00","0.0","17.0",,"24","-6"
