YEAR,MONTH,DAY,VALUE
1980,1,1,0.312
1980,1,2,0.219
1980,1,3,0.073
1980,1,4,-0.021
1980,1,5,-0.117
1980,1,6,-0.440
1980,1,7,-0.482
1980,1,8,-0.219
1980,1,9,0.301
1980,1,10,0.803
1980,1,11,0.764
1980,1,12,0.673
1980,1,13,0.348
1980,1,14,-0.082
1980,1,15,-0.263
1980,1,16,-0.284
1980,1,17,-0.243
1980,1,18,-0.190
1980,1,19,-0.122
1980,1,20,-0.265
1980,1,21,-0.686
1980,1,22,-1.086
1980,1,23,-1.460
1980,1,24,-1.507
1980,1,25,-1.527
1980,1,26,-1.176
1980,1,27,-1.056
1980,1,28,-1.053
1980,1,29,-0.904
1980,1,30,-0.736
1980,1,31,-0.575
1980,2,1,-0.478
1980,2,2,-0.311
1980,2,3,-0.254
1980,2,4,-0.108
1980,2,5,-0.097
1980,2,6,-0.390
1980,2,7,-0.729
1980,2,8,-0.736
1980,2,9,-0.671
1980,2,10,-0.668
1980,2,11,-0.606
1980,2,12,-0.518
1980,2,13,-0.441
1980,2,14,-0.238
1980,2,15,0.097
1980,2,16,0.506
1980,2,17,0.855
1980,2,18,1.003
1980,2,19,1.229
1980,2,20,1.208
1980,2,21,1.085
1980,2,22,0.938
1980,2,23,1.067
1980,2,24,1.268
1980,2,25,1.108
1980,2,26,0.842
1980,2,27,0.687
1980,2,28,0.568
1980,2,29,0.478
1980,3,1,0.333
1980,3,2,0.416
1980,3,3,0.770
1980,3,4,0.903
1980,3,5,1.056
1980,3,6,1.249
1980,3,7,0.979
1980,3,8,0.814
1980,3,9,0.701
1980,3,10,0.658
1980,3,11,0.769
1980,3,12,0.730
1980,3,13,0.746
1980,3,14,0.794
1980,3,15,0.476
1980,3,16,0.112
1980,3,17,-0.116
1980,3,18,-0.554
1980,3,19,-0.860
1980,3,20,-1.081
1980,3,21,-1.428
1980,3,22,-1.748
1980,3,23,-1.692
1980,3,24,-1.515
1980,3,25,-1.437
1980,3,26,-1.146
1980,3,27,-0.838
1980,3,28,-0.509
1980,3,29,-0.268
1980,3,30,-0.298
1980,3,31,-0.310
1980,4,1,-0.101
1980,4,2,0.180
1980,4,3,0.457
1980,4,4,0.772
1980,4,5,1.038
1980,4,6,0.798
1980,4,7,0.640
1980,4,8,0.751
1980,4,9,0.701
1980,4,10,0.522
1980,4,11,0.451
1980,4,12,0.528
1980,4,13,0.604
1980,4,14,0.931
1980,4,15,0.988
1980,4,16,1.329
1980,4,17,1.521
1980,4,18,1.437
1980,4,19,1.169
1980,4,20,0.747
1980,4,21,0.537
1980,4,22,0.571
1980,4,23,0.264
1980,4,24,0.135
1980,4,25,0.040
1980,4,26,-0.124
1980,4,27,0.241
1980,4,28,0.538
1980,4,29,0.539
1980,4,30,0.194

1980,11,1,0.800
1980,11,2,0.702
1980,11,3,0.249
1980,11,4,-0.086
1980,11,5,-0.620
1980,11,6,-0.886
1980,11,7,-0.863
1980,11,8,-1.152
1980,11,9,-1.134
1980,11,10,-1.142
1980,11,11,-1.416
1980,11,12,-1.373
1980,11,13,-0.682
1980,11,14,0.146
1980,11,15,0.512
1980,11,16,0.490
1980,11,17,0.552
1980,11,18,0.507
1980,11,19,0.500
1980,11,20,0.679
1980,11,21,0.798
1980,11,22,0.678
1980,11,23,0.421
1980,11,24,0.252
1980,11,25,0.083
1980,11,26,-0.058
1980,11,27,-0.566
1980,11,28,-0.972
1980,11,29,-1.190
1980,11,30,-0.942
1980,12,1,-1.466
1980,12,2,-1.397
1980,12,3,-1.199
1980,12,4,-0.875
1980,12,5,-0.655
1980,12,6,-0.380
1980,12,7,-0.165
1980,12,8,-0.091
1980,12,9,0.116
1980,12,10,0.232
1980,12,11,0.354
1980,12,12,0.497
1980,12,13,1.083
1980,12,14,1.178
1980,12,15,0.853
1980,12,16,0.872
1980,12,17,0.926
1980,12,18,0.646
1980,12,19,0.571
1980,12,20,0.451
1980,12,21,0.281
1980,12,22,0.315
1980,12,23,0.665
1980,12,24,0.998
1980,12,25,1.166
1980,12,26,0.924
1980,12,27,1.012
1980,12,28,1.387
1980,12,29,1.410
1980,12,30,1.294
1980,12,31,1.131
1981,1,1,0.906
1981,1,2,0.781
1981,1,3,0.414
1981,1,4,0.259
1981,1,5,0.279
1981,1,6,-0.127
1981,1,7,-0.100
1981,1,8,0.266
1981,1,9,0.039
1981,1,10,-0.163
1981,1,11,-0.298
1981,1,12,-0.433
1981,1,13,-0.008
1981,1,14,0.199
1981,1,15,0.282
